timestamp,ticker,asset,flow_usd_m
2025-03-18,TETH,ETH,0.0
2025-03-18,ETHV,ETH,0.0
2025-03-18,QETH,ETH,0.0
2025-03-18,EZET,ETH,0.0
2025-03-18,ETHE,ETH,0.0
2025-03-18,ETH,ETH,-9.3
2025-03-19,ETHA,ETH,-12.9
2025-03-19,FETH,ETH,-2.0
2025-03-19,ETHW,ETH,0.0
2025-03-19,TETH,ETH,0.7
2025-03-19,ETHV,ETH,0.0
2025-03-19,QETH,ETH,0.0
2025-03-19,EZET,ETH,0.0
2025-03-19,ETHE,ETH,10.2
2025-03-19,ETH,ETH,-7.7
2025-03-20,ETHA,ETH,-9.0
2025-03-20,FETH,ETH,-3.5
2025-03-20,ETHW,ETH,0.0
2025-03-20,TETH,ETH,0.0
2025-03-20,ETHV,ETH,0.0
2025-03-20,QETH,ETH,0.0
2025-03-20,EZET,ETH,0.0
2025-03-20,ETHE,ETH,0.0
2025-03-20,ETH,ETH,0.0
2025-03-21,ETHA,ETH,-11.9
2025-03-21,FETH,ETH,0.0
2025-03-21,ETHW,ETH,0.0
2025-03-21,TETH,ETH,0.0
2025-03-21,ETHV,ETH,0.0
2025-03-21,QETH,ETH,0.0
2025-03-21,EZET,ETH,0.0
2025-03-21,ETHE,ETH,0.0
2025-03-21,ETH,ETH,-6.7
2025-03-24,ETHA,ETH,0.0
2025-03-24,FETH,ETH,0.0
2025-03-24,ETHW,ETH,0.0
2025-03-24,TETH,ETH,0.0
2025-03-24,ETHV,ETH,0.0
2025-03-24,QETH,ETH,0.0
2025-03-24,EZET,ETH,0.0
2025-03-24,ETHE,ETH,0.0
2025-03-24,ETH,ETH,0.0
2025-03-25,ETHA,ETH,0.0
2025-03-25,FETH,ETH,0.0
2025-03-25,ETHW,ETH,0.0
2025-03-25,TETH,ETH,0.0
2025-03-25,ETHV,ETH,0.0
2025-03-25,QETH,ETH,-1.5
2025-03-25,EZET,ETH,0.0
2025-03-25,ETHE,ETH,0.0
2025-03-25,ETH,ETH,-1.8
2025-03-26,ETHA,ETH,0.0
2025-03-26,FETH,ETH,-1.0
2025-03-26,ETHW,ETH,0.0
2025-03-26,TETH,ETH,0.0
2025-03-26,ETHV,ETH,0.0
2025-03-26,QETH,ETH,0.0
2025-03-26,EZET,ETH,0.0
2025-03-26,ETHE,ETH,0.0
2025-03-26,ETH,ETH,-4.9
2025-03-27,ETHA,ETH,0.0
2025-03-27,FETH,ETH,-2.0
2025-03-27,ETHW,ETH,0.0
2025-03-27,TETH,ETH,0.0
2025-03-27,ETHV,ETH,-2.2
2025-03-27,QETH,ETH,0.0
2025-03-27,EZET,ETH,0.0
2025-03-27,ETHE,ETH,0.0
2025-03-27,ETH,ETH,0.0
2025-03-28,ETHA,ETH,0.0
2025-03-28,FETH,ETH,0.0
2025-03-28,ETHW,ETH,0.0
2025-03-28,TETH,ETH,0.0
2025-03-28,ETHV,ETH,0.0
2025-03-28,QETH,ETH,0.0
2025-03-28,EZET,ETH,0.0
2025-03-28,ETHE,ETH,4.7
2025-03-28,ETH,ETH,0.0
2025-03-31,ETHA,ETH,0.0
2025-03-31,FETH,ETH,6.4
2025-03-31,ETHW,ETH,0.0
2025-03-31,TETH,ETH,0.0
2025-03-31,ETHV,ETH,0.0
2025-03-31,QETH,ETH,0.0
2025-03-31,EZET,ETH,0.0
2025-03-31,ETHE,ETH,0.0
2025-03-31,ETH,ETH,0.0
2025-04-01,ETHA,ETH,0.0
2025-04-01,FETH,ETH,0.0
2025-04-01,ETHW,ETH,-2.6
2025-04-01,TETH,ETH,1.7
2025-04-01,ETHV,ETH,0.0
2025-04-01,QETH,ETH,0.0
2025-04-01,EZET,ETH,0.0
2025-04-01,ETHE,ETH,0.0
2025-04-01,ETH,ETH,-2.7
2025-04-02,ETHA,ETH,-20.2
2025-04-02,FETH,ETH,0.0
2025-04-02,ETHW,ETH,0.0
2025-04-02,TETH,ETH,0.0
2025-04-02,ETHV,ETH,0.0
2025-04-02,QETH,ETH,0.0
2025-04-02,EZET,ETH,0.0
2025-04-02,ETHE,ETH,-31.1
2025-04-02,ETH,ETH,0.0
2025-04-03,ETHA,ETH,0.0
2025-04-03,FETH,ETH,0.0
2025-04-03,ETHW,ETH,-3.6
2025-04-03,TETH,ETH,0.0
2025-04-03,ETHV,ETH,0.0
2025-04-03,QETH,ETH,0.0
2025-04-03,EZET,ETH,0.0
2025-04-03,ETHE,ETH,0.0
2025-04-03,ETH,ETH,0.0
2025-04-04,ETHA,ETH,0.0
2025-04-04,FETH,ETH,0.0
2025-04-04,ETHW,ETH,0.0
2025-04-04,TETH,ETH,0.0
2025-04-04,ETHV,ETH,0.0
2025-04-04,QETH,ETH,0.0
2025-04-04,EZET,ETH,2.1
2025-04-04,ETHE,ETH,0.0
2025-04-04,ETH,ETH,0.0
2025-04-07,ETHA,ETH,0.0
2025-04-07,FETH,ETH,0.0
2025-04-07,ETHW,ETH,0.0
2025-04-07,TETH,ETH,0.0
2025-04-07,ETHV,ETH,0.0
2025-04-07,QETH,ETH,0.0
2025-04-07,EZET,ETH,0.0
2025-04-07,ETHE,ETH,0.0
2025-04-07,ETH,ETH,0.0
2025-04-08,ETHA,ETH,0.0
2025-04-08,FETH,ETH,-3.3
2025-04-08,ETHW,ETH,0.0
2025-04-08,TETH,ETH,0.0
2025-04-08,ETHV,ETH,0.0
2025-04-08,QETH,ETH,0.0
2025-04-08,EZET,ETH,0.0
2025-04-08,ETHE,ETH,0.0
2025-04-08,ETH,ETH,0.0
